"RIGGED_SYSTEM_1_2016","RIGGED_SYSTEM_2_2016","RIGGED_SYSTEM_3_2016","RIGGED_SYSTEM_4_2016","RIGGED_SYSTEM_5_2016","RIGGED_SYSTEM_6_2016","track_2016","persfinretro_2016","econtrend_2016","Americatrend_2016","futuretrend_2016","wealth_2016","values_culture_2016","US_respect_2016","trustgovt_2016","trust_people_2016","helpful_people_2016","fair_people_2016","imiss_a_2016","imiss_b_2016","imiss_c_2016","imiss_d_2016","imiss_e_2016","imiss_f_2016","imiss_g_2016","imiss_h_2016","imiss_i_2016","imiss_j_2016","imiss_k_2016","imiss_l_2016","imiss_m_2016","imiss_n_2016","imiss_o_2016","imiss_p_2016","imiss_q_2016","imiss_r_2016","imiss_s_2016","imiss_t_2016","imiss_u_2016","imiss_x_2016","imiss_y_2016","Clinton_supp"
3,3,2,1,1,1,2,2,2,4,1,2,3,3,3,2,2,2,1,1,1,2,1,1,3,1,3,1,4,3,3,3,1,2,3,1,3,3,1,3,4,"No"
3,2,2,3,2,1,2,2,1,2,1,2,2,2,2,2,1,2,2,1,3,2,2,1,2,3,3,1,2,1,1,2,2,2,1,2,1,3,3,2,1,"Yes"
2,3,2,1,2,1,2,2,2,3,3,2,3,3,3,2,1,2,2,1,1,4,2,2,4,2,3,1,1,4,1,1,1,2,1,2,1,3,2,3,3,"No"
3,1,2,3,2,4,2,1,2,1,1,1,3,3,3,2,2,2,3,2,4,1,3,3,2,2,4,3,2,1,4,2,2,3,3,4,4,4,3,3,4,"No"
4,1,2,1,2,1,2,3,3,3,3,1,3,3,3,1,2,1,1,1,1,2,1,2,3,2,2,1,2,4,2,2,1,1,3,1,1,4,1,3,3,"No"
3,2,4,1,2,3,2,3,3,2,3,1,3,3,3,1,1,1,2,1,1,3,2,2,2,3,4,3,4,4,2,2,2,1,3,2,3,2,1,4,4,"No"
3,2,2,2,3,2,2,1,2,1,1,1,3,3,3,2,1,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,"No"
2,3,1,3,1,1,3,2,1,1,3,2,3,1,3,1,2,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,"Yes"
3,2,4,1,3,2,2,2,3,3,1,1,3,3,3,2,1,2,1,1,1,3,1,1,4,2,4,2,3,4,1,2,1,1,3,1,1,1,1,3,4,"No"
3,2,2,2,2,2,2,2,2,3,3,2,3,3,2,1,2,1,2,1,2,1,2,2,3,2,3,1,2,1,1,2,1,2,2,1,1,2,3,2,2,"Yes"
2,3,2,1,2,2,2,2,3,3,3,8,3,3,3,1,2,1,1,1,1,2,1,1,3,1,3,1,1,4,1,1,1,1,1,1,1,1,1,2,3,"No"
3,2,3,3,3,2,2,3,3,3,3,2,3,3,3,1,1,2,1,1,1,2,2,1,3,2,2,1,2,2,1,3,2,1,2,2,1,2,2,1,2,"No"
3,2,2,2,4,1,1,1,1,3,4,1,3,3,3,2,1,2,1,1,2,1,2,1,1,1,2,1,2,2,1,2,1,2,1,1,2,2,2,2,1,"Yes"
3,2,3,1,3,2,2,2,3,2,4,1,3,3,3,1,2,1,1,1,1,3,1,1,2,2,2,1,2,4,1,2,1,1,2,1,2,2,1,2,2,"No"
3,2,2,1,2,2,2,2,1,3,3,1,3,3,3,1,2,1,1,1,1,2,1,1,3,1,2,1,2,2,1,1,1,1,1,1,1,1,1,1,2,"No"
3,2,3,1,3,2,2,3,2,3,3,1,3,3,3,8,1,8,2,1,1,2,1,1,3,3,3,1,2,3,2,2,1,1,3,2,2,2,1,3,4,"No"
4,4,1,2,3,4,2,2,1,1,4,2,1,3,3,2,1,2,3,2,2,1,4,3,1,1,1,1,1,1,1,1,2,3,1,2,1,1,3,1,1,"Yes"
2,3,2,2,2,2,2,2,2,1,4,2,3,3,3,1,1,8,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,2,1,1,1,2,1,2,2,"Yes"
3,2,2,2,3,2,1,3,2,3,1,1,2,1,3,2,1,8,2,2,2,3,3,2,4,2,3,2,2,4,2,2,2,2,2,2,2,3,1,3,3,"No"
2,2,3,2,2,2,2,2,2,2,2,1,3,3,3,1,2,1,2,1,1,2,1,1,3,2,2,2,1,4,1,2,2,1,2,1,1,2,1,2,2,"No"
3,2,2,1,3,2,2,2,3,3,2,1,3,3,3,1,2,1,1,1,1,3,1,1,4,2,2,1,2,3,1,2,1,1,2,1,1,1,1,4,4,"No"
3,2,1,1,2,1,2,3,3,3,3,2,3,3,3,1,1,8,2,1,4,4,2,4,4,4,4,3,2,4,4,3,1,1,3,1,2,4,1,4,4,"No"
3,1,2,1,3,2,2,2,2,2,2,8,2,2,3,1,2,1,1,1,1,1,1,1,4,1,1,1,1,3,1,2,1,1,1,3,2,1,3,2,3,"No"
3,4,2,1,2,2,2,3,3,2,3,2,2,3,3,1,1,1,4,1,3,1,2,2,3,1,1,1,1,1,1,1,1,4,2,1,1,1,4,1,3,"Yes"
2,3,1,3,2,1,1,2,1,1,1,2,2,1,3,1,2,1,2,1,2,2,1,2,3,1,2,1,1,2,1,1,1,2,1,2,1,3,2,1,2,"Yes"
3,2,3,2,2,3,2,3,3,3,4,1,3,3,3,1,1,1,1,1,1,2,1,1,3,1,3,1,3,3,2,2,1,1,1,2,1,1,1,1,3,"No"
2,2,2,1,1,1,2,2,2,1,2,1,3,3,3,2,1,2,1,1,1,3,1,1,4,2,4,2,4,4,2,2,1,2,3,1,2,2,1,3,4,"No"
4,3,1,4,4,2,2,2,4,3,3,2,1,2,3,1,1,8,1,2,2,1,1,1,1,1,1,1,2,1,1,1,1,2,1,2,1,1,2,1,1,"Yes"
1,3,1,1,1,1,2,3,3,3,4,1,3,2,3,1,2,1,1,2,2,1,4,2,1,1,1,1,1,1,1,1,1,4,1,1,1,4,3,2,2,"Yes"
3,4,1,1,3,1,1,2,1,3,3,2,3,3,3,8,1,1,2,1,2,1,1,1,2,1,1,1,1,1,1,1,2,3,1,2,1,3,3,1,1,"Yes"
4,2,3,3,3,2,2,2,2,3,3,1,3,3,3,2,2,8,1,1,3,2,1,1,4,1,3,1,3,3,1,1,1,1,1,1,2,4,2,2,2,"No"
2,1,3,1,1,1,2,3,2,1,3,8,3,3,3,2,2,2,1,1,1,1,1,1,1,1,1,1,3,4,1,1,1,1,1,1,1,1,1,2,3,"No"
4,3,1,2,2,2,2,2,2,3,3,2,2,3,3,2,1,2,1,2,1,1,1,2,1,1,2,1,1,1,1,1,2,2,1,2,1,1,2,1,1,"Yes"
4,3,1,3,2,2,2,2,3,1,3,2,3,3,3,2,1,1,2,1,3,1,4,3,3,1,1,1,1,2,1,3,1,2,3,2,1,2,3,2,2,"Yes"
4,3,2,3,4,3,1,2,1,1,3,2,3,2,2,2,1,2,1,1,3,1,1,1,2,1,2,1,1,1,1,1,1,3,1,3,1,2,3,1,1,"Yes"
4,3,1,3,2,1,2,2,1,1,3,2,3,3,3,1,2,1,2,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,2,1,1,2,2,1,2,"Yes"
4,3,1,4,3,3,2,3,1,1,1,2,3,3,2,2,1,2,3,2,3,1,2,2,2,1,2,2,1,1,3,2,2,3,2,2,3,2,2,3,2,"Yes"
2,4,1,2,1,1,2,2,2,2,3,2,3,3,3,1,8,8,2,1,1,1,1,2,3,1,2,1,1,1,1,1,1,2,1,1,1,2,2,1,2,"Yes"
4,2,4,2,3,3,1,2,2,2,2,1,3,3,3,1,2,1,1,1,4,4,1,1,4,4,4,4,3,4,2,2,1,1,1,1,4,1,1,3,4,"No"
4,2,4,1,3,2,2,3,3,3,3,1,3,3,3,2,2,1,1,1,1,3,1,1,4,2,2,1,2,4,3,2,1,1,3,1,3,1,1,4,4,"No"
4,3,1,3,4,3,2,2,1,1,2,2,1,2,3,2,1,2,2,1,2,1,2,2,1,1,1,1,1,1,1,2,1,3,1,3,1,2,3,1,1,"Yes"
3,3,2,3,3,2,3,2,2,1,2,2,1,2,3,2,2,8,1,2,3,2,1,2,1,1,2,1,1,1,2,1,2,2,1,1,2,2,2,1,1,"Yes"
4,2,2,2,3,2,2,3,2,4,3,1,3,3,2,2,8,8,1,1,1,2,1,1,3,1,2,1,2,2,1,1,1,1,2,2,1,3,1,1,2,"Yes"
3,2,1,3,3,2,2,2,2,1,2,2,2,3,3,2,2,2,2,1,1,1,3,2,1,1,3,1,1,1,1,2,1,2,2,2,1,1,3,1,2,"Yes"
2,4,1,3,2,1,2,2,1,3,3,2,1,3,3,2,1,8,2,1,1,1,1,2,1,1,2,1,1,1,1,2,1,3,1,1,1,1,4,1,1,"Yes"
4,4,1,2,4,1,1,1,1,1,4,2,3,3,3,8,8,8,2,1,2,1,4,2,2,1,1,1,1,1,1,1,1,2,1,2,1,4,4,1,1,"Yes"
3,3,2,3,2,2,2,1,1,1,4,2,8,8,2,2,1,2,3,2,1,1,2,3,1,1,1,1,2,1,1,1,1,3,1,3,1,1,3,1,1,"Yes"
4,3,2,3,3,3,3,1,4,1,3,2,8,3,3,1,2,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,2,1,2,1,1,3,1,1,"Yes"
3,4,1,3,3,1,3,2,2,3,1,2,1,3,3,2,1,2,2,2,3,1,2,2,2,1,1,1,1,1,1,2,2,3,1,3,1,2,3,1,1,"Yes"
3,1,2,1,2,1,2,3,3,3,3,8,3,3,3,1,2,1,1,1,1,3,3,1,4,2,3,1,2,4,1,2,1,1,1,1,1,3,1,4,3,"No"
3,1,3,1,3,2,1,3,2,2,4,1,3,3,3,1,2,1,1,2,1,2,2,1,3,2,4,2,2,4,2,2,2,1,2,2,1,3,2,2,3,"No"
1,4,1,2,1,1,2,1,2,3,3,2,2,3,3,1,2,1,2,1,2,1,4,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,"Yes"
3,2,2,3,2,2,2,2,2,1,3,2,3,2,3,2,1,2,2,1,3,1,4,2,1,1,2,1,1,1,1,1,1,3,1,1,1,2,4,1,1,"Yes"
3,3,1,3,2,2,3,2,1,2,3,2,1,3,3,2,1,2,3,1,3,1,4,3,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,1,1,"Yes"
4,2,1,3,3,3,3,2,2,2,3,2,2,2,3,2,2,1,2,1,3,1,3,2,2,2,2,2,1,1,2,1,2,2,2,1,2,2,3,3,2,"Yes"
3,2,4,1,3,1,2,2,2,3,3,1,3,3,3,1,2,1,1,1,3,3,1,1,4,2,4,2,4,4,3,4,1,1,2,1,1,1,1,4,4,"No"
3,2,1,3,2,2,1,1,1,1,1,2,2,2,3,8,1,2,2,1,2,1,4,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,2,1,1,"Yes"
3,2,3,1,2,1,2,3,2,2,4,8,3,3,3,2,1,2,1,1,1,4,1,1,2,2,3,1,1,4,1,1,1,1,1,1,1,1,1,2,2,"No"
3,2,1,2,2,1,1,2,1,2,4,2,8,2,3,2,1,1,2,1,2,2,2,1,2,1,3,1,1,2,1,1,1,1,2,2,1,2,2,1,2,"Yes"
3,2,3,2,3,1,1,2,2,4,1,1,3,3,3,1,1,2,2,1,2,2,2,2,3,2,3,2,3,2,2,1,2,2,3,2,2,2,2,2,2,"Yes"
4,2,2,4,3,4,2,2,1,1,2,2,3,3,3,2,1,2,3,2,2,1,3,3,3,1,2,2,1,1,2,1,2,3,2,3,2,3,4,2,3,"Yes"
3,1,3,1,2,1,2,2,2,3,3,1,3,3,3,1,2,1,1,1,1,3,1,1,4,2,2,1,3,4,2,1,1,1,2,2,2,1,1,2,2,"No"
3,3,1,3,3,1,2,1,1,1,3,2,8,3,3,2,1,2,4,1,1,1,2,4,2,2,1,2,1,1,1,1,1,4,1,4,3,2,4,1,1,"Yes"
4,4,1,3,1,1,1,2,1,4,3,2,8,1,3,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"Yes"
3,2,3,3,2,4,2,2,2,2,3,1,3,3,3,1,2,1,1,1,2,3,1,1,4,1,4,2,3,4,4,2,1,2,2,1,3,1,1,3,4,"No"
3,3,1,3,2,2,2,2,1,3,3,2,3,3,3,2,1,2,2,1,2,1,4,2,1,1,1,1,1,1,1,1,1,3,1,3,1,1,3,1,1,"Yes"
3,3,2,1,3,2,2,2,3,3,3,1,3,3,3,1,2,1,1,1,1,4,1,2,4,2,3,2,3,4,2,3,1,1,3,1,2,1,1,4,4,"No"
4,1,2,1,3,1,1,3,3,3,3,1,3,3,3,2,1,2,1,1,1,2,1,1,4,2,2,1,1,4,1,1,1,1,1,1,1,2,1,1,4,"No"
3,3,2,2,2,1,2,2,2,3,3,8,3,3,3,8,8,8,2,2,2,3,3,1,3,2,2,1,3,3,1,2,2,2,2,1,1,3,3,3,3,"No"
3,2,2,1,2,1,2,2,2,3,3,8,3,3,3,2,2,1,1,1,1,2,1,2,3,2,4,1,2,2,1,2,1,1,3,1,1,4,1,3,4,"No"
3,3,1,3,3,2,1,2,1,1,1,2,1,1,2,2,1,2,2,2,2,1,1,1,1,1,1,1,1,1,2,2,2,2,1,2,1,2,2,1,1,"Yes"
4,2,2,4,3,1,1,2,1,1,1,2,1,2,2,2,1,2,2,1,3,1,1,2,2,1,1,1,1,1,2,1,1,3,1,2,2,2,3,1,1,"Yes"
3,3,2,3,3,2,3,2,1,3,4,2,1,3,3,2,8,2,2,2,2,1,4,3,1,1,1,1,2,1,1,1,1,3,1,2,1,1,4,1,1,"Yes"
3,2,1,3,4,3,1,2,1,3,3,2,2,3,3,2,1,2,2,1,2,1,3,2,1,2,1,1,1,1,1,1,1,3,1,3,2,3,3,1,1,"No"
3,3,1,3,3,2,2,2,3,1,3,2,2,1,3,1,2,2,2,2,2,1,4,3,1,1,1,1,1,2,1,1,2,3,1,2,1,1,2,1,1,"Yes"
4,2,3,4,4,3,3,1,4,4,1,1,2,2,2,2,1,8,2,1,4,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,4,4,1,1,"Yes"
3,2,2,1,3,1,2,3,3,3,3,1,3,3,3,1,1,1,1,1,1,2,1,1,2,1,2,1,1,2,1,2,1,1,1,1,1,2,1,1,2,"No"
3,2,2,2,3,1,2,2,2,2,3,8,3,3,3,2,2,1,2,2,2,2,1,2,4,2,2,2,1,2,3,1,2,2,2,2,2,1,2,2,2,"No"
3,2,2,1,3,1,2,3,2,3,1,1,3,3,3,2,1,2,1,1,2,3,1,1,4,2,2,1,2,4,1,1,1,2,2,1,1,2,1,3,2,"No"
4,4,1,3,2,1,2,2,1,3,3,2,3,2,3,1,2,1,1,1,1,1,4,1,1,2,1,1,1,1,1,1,1,3,1,2,1,1,3,1,1,"Yes"
3,2,1,1,2,1,1,1,1,1,1,2,1,2,3,2,1,2,3,1,2,1,2,2,1,1,2,1,1,1,2,1,2,2,1,2,2,2,3,1,1,"Yes"
3,4,1,3,2,1,2,3,3,3,3,2,1,3,3,2,1,2,3,1,3,1,2,2,2,1,2,1,1,1,2,2,2,2,2,1,2,4,3,2,2,"Yes"
2,3,2,3,2,2,1,2,2,2,2,2,2,3,3,1,2,1,1,1,1,2,1,2,2,1,2,1,2,2,1,2,1,1,2,2,1,1,2,2,1,"Yes"
4,3,1,3,3,2,1,3,1,2,4,2,1,1,3,2,1,1,1,1,3,1,1,2,1,1,1,1,1,1,1,1,2,3,1,2,1,4,3,1,1,"Yes"
4,2,2,1,2,1,2,3,3,3,3,1,3,3,3,1,2,1,1,1,1,2,1,1,3,2,2,1,1,3,1,2,1,1,2,1,2,3,1,2,1,"No"
2,2,2,1,1,1,1,2,2,3,2,1,3,3,3,1,8,1,2,1,2,1,1,1,3,2,2,1,3,2,2,2,1,2,3,1,2,3,1,3,4,"No"
3,2,3,3,3,2,2,1,2,1,2,1,2,3,3,1,2,1,1,1,1,1,2,1,2,1,2,2,2,1,1,1,1,1,2,1,2,3,1,3,3,"No"
4,2,2,2,2,2,2,2,2,2,3,8,3,2,2,1,2,1,2,2,2,2,1,2,4,1,2,1,2,3,2,2,2,2,2,2,2,1,2,2,4,"No"
2,4,1,3,3,3,2,1,2,3,3,2,2,3,3,1,2,1,3,1,2,1,4,3,1,1,3,2,1,1,3,1,1,4,1,2,2,4,3,2,2,"Yes"
3,2,1,3,3,1,3,1,1,3,1,2,1,3,3,2,1,2,3,1,4,1,1,4,2,2,2,1,1,1,2,1,1,2,1,2,2,4,2,2,2,"Yes"
2,3,1,3,2,1,1,2,1,2,3,2,2,1,2,1,2,1,3,1,3,1,3,3,2,1,1,1,1,1,1,1,2,1,1,1,2,1,4,1,2,"Yes"
4,1,4,1,2,1,2,2,1,1,3,1,3,3,3,1,2,1,1,1,1,2,1,1,4,1,4,2,3,4,1,2,1,1,2,1,1,3,1,3,4,"No"
3,2,3,1,2,3,2,3,2,1,4,8,2,3,3,8,1,8,1,1,2,2,1,1,3,1,3,1,3,3,2,1,1,1,1,1,1,2,1,2,3,"No"
2,3,1,3,1,1,2,2,1,3,3,2,8,3,3,1,2,1,2,1,2,2,1,2,2,1,1,1,1,2,1,1,1,2,1,1,1,1,2,1,1,"Yes"
3,4,1,2,3,1,1,2,1,3,3,2,2,1,2,2,2,1,2,1,3,1,3,3,1,1,1,1,2,1,1,2,1,2,2,3,1,3,3,2,2,"Yes"
2,2,3,2,2,1,1,2,2,3,3,1,3,3,3,2,2,1,1,1,2,3,1,1,2,2,3,2,1,4,3,2,1,1,3,1,3,3,1,3,3,"No"
3,2,1,3,2,1,2,2,2,4,4,2,1,3,3,1,2,1,2,2,2,2,4,2,2,1,2,2,1,3,1,1,1,3,2,1,2,4,2,3,3,"Yes"
4,3,2,3,2,2,2,2,1,2,3,2,3,3,3,2,1,2,2,2,2,1,2,3,2,2,2,2,1,1,1,2,2,2,2,2,2,2,2,2,2,"Yes"
3,1,2,2,2,2,2,3,1,3,3,1,3,3,3,1,1,1,1,2,1,3,1,1,3,1,2,1,1,4,1,2,2,2,2,1,1,1,1,1,3,"No"
2,3,2,3,3,1,2,3,3,3,3,2,3,3,3,1,2,1,2,1,2,2,1,2,3,1,2,1,1,1,1,1,1,2,1,1,1,4,2,2,2,"Yes"
4,3,1,4,4,2,2,2,1,1,2,2,2,3,3,2,1,2,3,2,2,1,1,2,1,1,1,1,1,1,1,1,2,2,1,2,1,1,3,1,1,"Yes"
3,1,3,1,2,2,1,2,2,3,1,1,3,3,3,1,2,1,2,1,1,2,1,1,2,2,2,2,1,2,1,1,1,1,1,1,1,1,2,1,3,"No"
3,1,3,1,1,1,3,2,2,1,2,1,3,3,3,2,2,1,1,1,1,2,1,1,3,2,2,2,2,4,2,2,1,1,2,1,2,2,1,3,4,"No"
3,2,1,3,2,2,2,2,2,3,4,2,2,3,3,2,8,2,3,2,3,2,3,2,3,2,3,2,2,2,2,2,2,2,3,2,2,3,2,2,2,"Yes"
4,1,3,1,3,1,2,2,2,3,3,1,3,3,3,1,1,2,1,1,1,3,1,1,4,3,3,3,3,4,3,2,1,1,3,1,2,3,1,4,4,"No"
3,1,4,1,4,1,2,2,2,3,3,1,3,3,3,2,1,2,2,1,1,2,1,1,2,1,4,2,2,3,3,2,1,1,3,1,4,3,1,3,4,"No"
4,3,1,1,3,2,2,2,2,4,4,2,3,3,3,2,2,1,1,1,2,1,2,2,1,1,2,1,1,1,1,1,1,1,1,1,1,2,3,1,1,"Yes"
3,2,2,2,3,2,2,2,1,1,2,1,3,3,3,2,1,2,2,1,2,3,2,1,2,3,4,2,3,3,2,2,2,2,2,2,2,2,2,2,3,"No"
4,3,1,4,3,2,2,2,1,1,1,2,2,3,3,2,8,8,2,1,2,2,2,2,1,1,1,1,2,1,1,1,2,1,2,1,1,3,2,1,2,"Yes"
3,2,2,1,2,2,2,2,2,3,3,1,3,3,3,1,2,1,1,1,1,2,2,1,4,2,3,2,3,4,2,2,1,1,3,2,2,4,3,4,4,"No"
3,3,2,3,2,1,1,2,1,1,3,2,1,2,3,1,2,1,1,1,2,1,4,2,2,1,3,1,1,1,1,2,1,2,2,2,1,2,3,2,2,"Yes"
2,3,1,3,2,2,1,2,2,1,2,2,2,1,2,2,1,2,3,1,2,1,4,2,1,2,1,1,1,1,1,1,2,3,2,1,1,2,4,1,1,"Yes"
3,2,2,3,2,2,2,1,1,1,3,2,3,3,3,2,2,1,2,1,3,1,4,3,1,1,3,1,1,2,3,1,2,3,2,3,2,2,4,3,2,"Yes"
3,3,1,4,2,1,2,1,1,1,4,2,1,1,3,2,1,8,2,1,1,1,4,2,1,1,1,1,1,1,1,1,1,3,1,2,1,1,3,1,1,"Yes"
4,1,2,1,2,1,2,2,2,3,3,1,3,3,3,2,1,1,1,2,1,3,2,1,3,2,4,1,3,4,2,3,2,1,2,1,2,3,2,2,4,"No"
1,3,1,2,2,2,2,3,3,3,3,2,3,3,3,1,2,2,2,1,2,2,2,2,4,2,3,2,2,2,2,2,2,2,2,2,2,2,3,2,2,"Yes"
3,1,3,1,3,2,1,2,2,1,4,1,3,3,3,1,2,1,2,1,2,4,1,1,4,2,4,2,3,4,2,2,1,1,3,1,3,3,1,4,4,"No"
3,1,2,3,3,2,1,1,2,3,2,1,2,2,2,2,1,2,2,1,2,2,1,1,3,3,3,2,2,2,1,1,1,2,2,2,1,2,2,2,2,"No"
2,3,1,2,2,1,3,2,4,3,3,2,3,3,3,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,"Yes"
3,2,3,1,3,1,1,2,2,3,2,1,3,3,2,1,1,2,2,1,2,3,1,1,3,1,2,1,2,4,1,2,1,1,2,2,1,1,1,1,4,"No"
4,2,1,3,4,3,1,3,2,1,1,2,1,3,3,2,1,2,1,1,2,1,3,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,3,1,1,"Yes"
4,3,1,3,4,1,2,2,1,1,2,8,2,8,2,2,1,2,1,1,2,1,1,1,2,1,2,1,2,1,1,1,1,2,1,3,1,2,2,2,1,"Yes"
3,2,3,1,3,1,2,2,3,3,4,1,8,3,3,1,1,8,1,1,1,1,1,1,2,1,2,1,1,2,1,2,1,1,1,1,1,1,1,2,2,"No"
1,3,1,2,1,1,2,2,2,3,4,2,3,3,3,8,2,8,2,2,3,1,2,1,2,1,1,1,1,2,1,2,1,2,1,2,1,3,2,1,3,"Yes"
2,1,2,1,2,1,2,2,2,3,3,1,3,3,3,1,2,1,1,1,2,3,1,2,4,3,4,2,2,4,3,2,2,1,2,1,2,2,1,4,4,"No"
3,2,3,1,2,1,2,2,3,3,3,8,3,3,3,2,1,2,1,1,1,2,1,1,1,1,3,3,4,4,2,1,1,1,1,1,3,2,1,1,1,"No"
1,3,1,1,1,1,2,2,2,3,4,2,2,3,3,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,"Yes"
3,2,2,3,3,2,2,2,2,2,4,1,3,3,3,8,8,8,2,1,2,3,2,2,3,2,3,2,3,4,2,2,1,2,2,1,2,3,1,3,3,"No"
2,2,3,2,2,1,2,2,3,2,3,1,3,3,3,2,1,2,1,1,1,4,2,1,4,2,3,1,1,4,2,2,1,1,2,1,2,2,1,3,4,"No"
2,2,1,1,2,1,1,2,1,1,1,8,3,2,3,1,2,1,1,1,2,2,2,1,2,2,2,1,1,3,1,1,1,1,2,1,1,4,2,2,2,"No"
4,1,3,1,4,1,2,2,2,3,4,1,3,3,3,2,1,8,1,1,2,4,2,1,2,2,3,1,4,4,2,2,1,1,2,1,2,1,2,4,4,"No"
3,3,1,3,3,2,1,1,1,1,3,2,3,3,2,2,1,8,2,1,3,1,2,2,2,1,1,1,1,1,1,1,1,2,1,2,1,2,3,1,1,"Yes"
2,1,3,1,2,3,2,2,3,3,2,1,3,3,3,8,2,8,1,1,2,2,1,1,4,2,2,2,3,3,1,1,1,1,3,3,2,3,2,3,3,"No"
