Fiscal Year Released,Recidivism Reporting Year,Race - Ethnicity,Age At Release ,Convicting Offense Classification,Convicting Offense Type,Convicting Offense Subtype,Release Type,Part of Target Population,Main Supervising District,Recidivism - Return to Prison,Release Type,Days to Recidivism,New Conviction Offense Classification,New Conviction Offense Type,New Conviction Offense Sub Type
2010,2013,Black - Non-Hispanic,45-54,Aggravated Misdemeanor,Violent,Assault,Discharged End of Sentence,No,,Yes,Discharged End of Sentence,145,Aggravated Misdemeanor,Violent,Assault
2010,2013,American Indian or Alaska Native - Non-Hispanic,45-54,Aggravated Misdemeanor,Public Order,Alcohol,Discharged End of Sentence,No,,Yes,Discharged End of Sentence,146,Aggravated Misdemeanor,Public Order,Alcohol
2010,2013,White - Non-Hispanic,35-44,D Felony,Property,Burglary,Parole,Yes,5JD,Yes,Parole,147,Aggravated Misdemeanor,Property,Burglary
2010,2013,Black - Non-Hispanic,25-34,Aggravated Misdemeanor,Property,Theft,Discharged End of Sentence,No,,Yes,Discharged End of Sentence,149,D Felony,Violent,Assault
2010,2013,White - Non-Hispanic,Under 25,Aggravated Misdemeanor,Property,Burglary,Discharged End of Sentence,No,,Yes,Discharged End of Sentence,152,C Felony,Property,Burglary
2010,2013,White - Non-Hispanic,Under 25,D Felony,Property,Theft,Parole,Yes,3JD,Yes,Parole,157,D Felony,Public Order,Traffic
2010,2013,White - Non-Hispanic,35-44,D Felony,Public Order,Weapons,Discharged End of Sentence,No,,Yes,Discharged End of Sentence,164,D Felony,Property,Forgery/Fraud
2010,2013,White - Non-Hispanic,25-34,C Felony,Drug,Trafficking,Parole,Yes,3JD,Yes,Parole,165,D Felony,Drug,Other Drug
2010,2013,White - Non-Hispanic,25-34,D Felony,Drug,Drug Possession,Parole,Yes,1JD,Yes,Parole,165,Felony - Enhancement to Original Penalty,Other,Other Criminal
2010,2013,White - Non-Hispanic,Under 25,Aggravated Misdemeanor,Property,Vandalism,Discharged End of Sentence,No,,Yes,Discharged End of Sentence,166,Serious Misdemeanor,Drug,Drug Possession
2010,2013,White - Non-Hispanic,25-34,Aggravated Misdemeanor,Violent,Assault,Discharged End of Sentence,No,,Yes,Discharged End of Sentence,166,Aggravated Misdemeanor,Property,Theft
2010,2013,Black - Non-Hispanic,35-44,Aggravated Misdemeanor,Public Order,Traffic,Discharged End of Sentence,No,,Yes,Discharged End of Sentence,167,Aggravated Misdemeanor,Public Order,Prostitution/Pimping
2010,2013,White - Non-Hispanic,25-34,D Felony,Violent,Assault,Parole,Yes,1JD,Yes,Parole,167,Aggravated Misdemeanor,Violent,Assault
2010,2013,White - Non-Hispanic,Under 25,D Felony,Public Order,Traffic,Parole,Yes,3JD,Yes,Parole,170,Aggravated Misdemeanor,Public Order,Other Public Order
2010,2013,White - Hispanic,Under 25,Aggravated Misdemeanor,Property,Burglary,Discharged End of Sentence,No,,Yes,Discharged End of Sentence,170,D Felony,Public Order,Weapons
2010,2013,Black - Non-Hispanic,25-34,D Felony,Public Order,Sex Offender Registry/Residency,Discharged End of Sentence,No,,Yes,Discharged End of Sentence,171,Aggravated Misdemeanor,Public Order,Other Public Order
2010,2013,White - Non-Hispanic,Under 25,D Felony,Property,Forgery/Fraud,Parole,Yes,8JD,Yes,Parole,172,Aggravated Misdemeanor,Public Order,Traffic
2010,2013,Black - Non-Hispanic,25-34,C Felony,Drug,Trafficking,Parole,Yes,1JD,Yes,Parole,173,Felony - Enhancement to Original Penalty,Other,Other Criminal
2010,2013,White - Non-Hispanic,Under 25,D Felony,Property,Forgery/Fraud,Discharged End of Sentence,No,,Yes,Discharged End of Sentence,174,C Felony,Property,Burglary
2010,2013,White - Non-Hispanic,Under 25,C Felony,Drug,Trafficking,Parole,Yes,5JD,Yes,Parole,175,Aggravated Misdemeanor,Drug,Drug Possession
2010,2013,White - Non-Hispanic,25-34,D Felony,Public Order,Sex Offender Registry/Residency,Discharged End of Sentence,No,,Yes,Discharged End of Sentence,177,D Felony,Public Order,Other Public Order
2010,2013,White - Non-Hispanic,45-54,Felony - Enhanced,Drug,Trafficking,Parole,Yes,5JD,Yes,Parole,178,Aggravated Misdemeanor,Drug,Drug Possession
2010,2013,White - Non-Hispanic,Under 25,Aggravated Misdemeanor,Public Order,Other Public Order,Discharged End of Sentence,No,,Yes,Discharged End of Sentence,183,Aggravated Misdemeanor,Violent,Assault
2010,2013,White - Non-Hispanic,Under 25,D Felony,Violent,Assault,Parole,Yes,1JD,Yes,Parole,184,D Felony,Violent,Assault
2010,2013,American Indian or Alaska Native - Non-Hispanic,45-54,Aggravated Misdemeanor,Violent,Assault,Discharged End of Sentence,No,,Yes,Discharged End of Sentence,185,Aggravated Misdemeanor,Public Order,Weapons
2010,2013,White - Non-Hispanic,25-34,C Felony,Drug,Trafficking,Discharged End of Sentence,No,,Yes,Discharged End of Sentence,187,Serious Misdemeanor,Drug,Drug Possession
2010,2013,White - Non-Hispanic,Under 25,D Felony,Drug,Trafficking,Parole,Yes,8JD,Yes,Parole,187,C Felony,Drug,Trafficking
2010,2013,White - Non-Hispanic,35-44,D Felony,Property,Theft,Parole,Yes,7JD,Yes,Parole,191,D Felony,Property,Burglary
2010,2013,White - Non-Hispanic,Under 25,D Felony,Violent,Assault,Discharged End of Sentence,No,,Yes,Discharged End of Sentence,192,C Felony,Property,Theft
2010,2013,Black - Non-Hispanic,45-54,Aggravated Misdemeanor,Violent,Assault,Discharged End of Sentence,No,,Yes,Discharged End of Sentence,194,C Felony,Property,Burglary
2010,2013,White - Non-Hispanic,45-54,Felony - Enhanced,Drug,Trafficking,Parole,Yes,1JD,Yes,Parole,194,Felony - Enhancement to Original Penalty,Drug,Trafficking
2010,2013,White - Non-Hispanic,35-44,D Felony,Property,Forgery/Fraud,Parole,Yes,5JD,Yes,Parole,198,Serious Misdemeanor,Property,Other Property
2010,2013,White - Non-Hispanic,25-34,D Felony,Property,Forgery/Fraud,Discharged End of Sentence,No,,Yes,Discharged End of Sentence,198,C Felony,Drug,Trafficking
2010,2013,Black - Non-Hispanic,45-54,D Felony,Public Order,Sex Offender Registry/Residency,Discharged End of Sentence,No,,Yes,Discharged End of Sentence,198,D Felony,Public Order,Other Public Order
2010,2013,White - Non-Hispanic,Under 25,D Felony,Public Order,Weapons,Parole,Yes,7JD,Yes,Parole,198,Serious Misdemeanor,Drug,Drug Possession
2010,2013,White - Non-Hispanic,Under 25,D Felony,Property,Burglary,Parole,Yes,8JD,Yes,Parole,199,D Felony,Public Order,Weapons
2010,2013,White - Non-Hispanic,45-54,Aggravated Misdemeanor,Property,Theft,Discharged End of Sentence,No,,Yes,Discharged End of Sentence,209,Aggravated Misdemeanor,Property,Theft
2010,2013,White - Non-Hispanic,25-34,C Felony,Drug,Trafficking,Parole,Yes,4JD,Yes,Parole,209,Aggravated Misdemeanor,Public Order,Other Public Order
2010,2013,White - Non-Hispanic,Under 25,Aggravated Misdemeanor,Violent,Assault,Discharged End of Sentence,No,,Yes,Discharged End of Sentence,210,Aggravated Misdemeanor,Violent,Assault
2010,2013,White - Non-Hispanic,25-34,C Felony,Property,Theft,Discharged End of Sentence,No,,Yes,Discharged End of Sentence,212,Serious Misdemeanor,Violent,Assault
2010,2013,Black - Non-Hispanic,Under 25,Aggravated Misdemeanor,Violent,Assault,Discharged End of Sentence,No,,Yes,Discharged End of Sentence,212,D Felony,Property,Burglary
2010,2013,White - Non-Hispanic,Under 25,D Felony,Property,Theft,Parole,Yes,4JD,Yes,Parole,213,Serious Misdemeanor,Public Order,Flight/Escape
2010,2013,White - Non-Hispanic,Under 25,D Felony,Drug,Other Drug,Parole,Yes,8JD,Yes,Parole,215,D Felony,Property,Burglary
2010,2013,White - Hispanic,25-34,D Felony,Property,Theft,Parole,Yes,7JD,Yes,Parole,217,D Felony,Public Order,OWI
2010,2013,Black - Non-Hispanic,25-34,C Felony,Drug,Trafficking,Parole,Yes,5JD,Yes,Parole,217,C Felony,Drug,Trafficking
2010,2013,Black - Non-Hispanic,35-44,C Felony,Drug,Trafficking,Parole,Yes,5JD,Yes,Parole,218,Serious Misdemeanor,Violent,Assault
2010,2013,White - Non-Hispanic,25-34,C Felony,Drug,Trafficking,Parole,Yes,1JD,Yes,Parole,221,D Felony,Violent,Assault
2010,2013,White - Non-Hispanic,55 and Older,Aggravated Misdemeanor,Violent,Kidnap,Discharged End of Sentence,No,,Yes,Discharged End of Sentence,222,Aggravated Misdemeanor,Public Order,Other Public Order
2010,2013,White - Non-Hispanic,45-54,D Felony,Property,Burglary,Parole,Yes,1JD,Yes,Parole,222,Aggravated Misdemeanor,Public Order,Alcohol
2010,2013,White - Non-Hispanic,45-54,D Felony,Drug,Drug Possession,Parole,Yes,5JD,Yes,Parole,222,C Felony,Property,Burglary
2010,2013,White - Non-Hispanic,35-44,B Felony,Other,Other Criminal,Parole,Yes,2JD,Yes,Parole,223,D Felony,Property,Forgery/Fraud
2010,2013,White - Non-Hispanic,25-34,D Felony,Drug,Trafficking,Discharged End of Sentence,No,,Yes,Discharged End of Sentence,224,D Felony,Drug,Trafficking
2010,2013,White - Non-Hispanic,Under 25,D Felony,Property,Burglary,Parole,Yes,3JD,Yes,Parole,224,Aggravated Misdemeanor,Property,Burglary
2010,2013,White - Hispanic,35-44,Felony - Enhanced,Property,Burglary,Parole,Yes,7JD,Yes,Parole,224,Serious Misdemeanor,Other,Animals
2010,2013,White - Non-Hispanic,25-34,B Felony,Drug,Trafficking,Parole,Yes,2JD,Yes,Parole,224,B Felony,Violent,Other Violent
2010,2013,White - Non-Hispanic,35-44,C Felony,Drug,Trafficking,Parole,Yes,5JD,Yes,Parole,225,Serious Misdemeanor,Drug,Drug Possession
2010,2013,White - Non-Hispanic,55 and Older,B Felony,Drug,Trafficking,Parole,Yes,2JD,Yes,Parole,226,Aggravated Misdemeanor,Property,Theft
2010,2013,White - Non-Hispanic,45-54,B Felony,Drug,Trafficking,Parole,Yes,5JD,Yes,Parole,227,Aggravated Misdemeanor,Drug,Drug Possession
2010,2013,White - Non-Hispanic,Under 25,D Felony,Property,Burglary,Discharged End of Sentence,No,,Yes,Discharged End of Sentence,227,D Felony,Drug,Trafficking
2010,2013,Black - Non-Hispanic,45-54,D Felony,Drug,Drug Possession,Discharged End of Sentence,No,,Yes,Discharged End of Sentence,227,Aggravated Misdemeanor,Public Order,Prostitution/Pimping
2010,2013,Black - Non-Hispanic,Under 25,D Felony,Property,Burglary,Parole,Yes,2JD,Yes,Parole,228,C Felony,Property,Burglary
2010,2013,Black - Non-Hispanic,55 and Older,Aggravated Misdemeanor,Property,Theft,Discharged End of Sentence,No,,Yes,Discharged End of Sentence,229,Aggravated Misdemeanor,Property,Theft
2010,2013,White - Non-Hispanic,25-34,B Felony,Drug,Trafficking,Parole,Yes,2JD,Yes,Parole,230,D Felony,Drug,Drug Possession
2010,2013,White - Non-Hispanic,25-34,D Felony,Violent,Assault,Parole,Yes,5JD,Yes,Parole,231,Serious Misdemeanor,Violent,Assault
2010,2013,White - Non-Hispanic,25-34,D Felony,Drug,Trafficking,Parole,Yes,7JD,Yes,Parole,231,Aggravated Misdemeanor,Violent,Assault
2010,2013,White - Non-Hispanic,Under 25,D Felony,Public Order,OWI,Parole,Yes,1JD,Yes,Parole,232,Aggravated Misdemeanor,Public Order,OWI
2010,2013,Black - Non-Hispanic,25-34,B Felony,Drug,Trafficking,Parole,Yes,5JD,Yes,Parole,235,Felony - Enhancement to Original Penalty,Drug,Trafficking
2010,2013,Black - Non-Hispanic,Under 25,C Felony,Drug,Trafficking,Parole,Yes,5JD,Yes,Parole,235,B Felony,Drug,Trafficking
2010,2013,White - Non-Hispanic,25-34,C Felony,Property,Theft,Discharged End of Sentence,No,,Yes,Discharged End of Sentence,239,Serious Misdemeanor,Violent,Assault
2010,2013,White - Non-Hispanic,45-54,Felony - Enhanced,Property,Burglary,Discharged End of Sentence,No,,Yes,Discharged End of Sentence,239,Serious Misdemeanor,Public Order,OWI
2010,2013,Black - Non-Hispanic,35-44,D Felony,Public Order,Flight/Escape,Parole,Yes,5JD,Yes,Parole,240,Aggravated Misdemeanor,Public Order,Traffic
2010,2013,White - Non-Hispanic,25-34,D Felony,Violent,Assault,Parole,Yes,7JD,Yes,Parole,241,Felony - Enhancement to Original Penalty,Other,Other Criminal
2010,2013,White - Non-Hispanic,25-34,C Felony,Drug,Trafficking,Parole,Yes,7JD,Yes,Parole,242,D Felony,Property,Burglary
2010,2013,Black - Non-Hispanic,45-54,Aggravated Misdemeanor,Public Order,Traffic,Parole,Yes,5JD,Yes,Parole,243,Aggravated Misdemeanor,Public Order,Traffic
2010,2013,White - Non-Hispanic,35-44,D Felony,Property,Theft,Parole,Yes,7JD,Yes,Parole,245,Felony - Enhancement to Original Penalty,Other,Other Criminal
2010,2013,White - Non-Hispanic,25-34,Aggravated Misdemeanor,Violent,Assault,Discharged End of Sentence,No,,Yes,Discharged End of Sentence,249,D Felony,Violent,Assault
2010,2013,White - Non-Hispanic,25-34,D Felony,Public Order,OWI,Parole,Yes,3JD,Yes,Parole,250,D Felony,Drug,Trafficking
2010,2013,White - Non-Hispanic,35-44,C Felony,Drug,Trafficking,Parole,Yes,5JD,Yes,Parole,252,Simple Misdemeanor,Violent,Assault
2010,2013,Black - Non-Hispanic,Under 25,C Felony,Drug,Trafficking,Parole,Yes,5JD,Yes,Parole,252,Serious Misdemeanor,Public Order,Flight/Escape
2010,2013,White - Non-Hispanic,45-54,Felony - Enhanced,Drug,Trafficking,Parole,Yes,8JD,Yes,Parole,252,Aggravated Misdemeanor,Public Order,Traffic
2010,2013,Black - Non-Hispanic,25-34,B Felony,Drug,Trafficking,Parole,Yes,5JD,Yes,Parole,252,C Felony,Drug,Trafficking
2010,2013,Black - Non-Hispanic,35-44,Felony - Enhanced,Drug,Trafficking,Parole,Yes,1JD,Yes,Parole,254,D Felony,Drug,Drug Possession
2010,2013,White - Non-Hispanic,35-44,B Felony,Drug,Trafficking,Discharged End of Sentence,No,,Yes,Discharged End of Sentence,254,C Felony,Drug,Trafficking
2010,2013,White - Non-Hispanic,45-54,C Felony,Drug,Trafficking,Discharged End of Sentence,No,,Yes,Discharged End of Sentence,256,Aggravated Misdemeanor,Property,Burglary
2010,2013,White - Non-Hispanic,35-44,C Felony,Property,Burglary,Parole,Yes,7JD,Yes,Parole,258,D Felony,Property,Theft
2010,2013,White - Non-Hispanic,Under 25,Aggravated Misdemeanor,Violent,Assault,Discharged End of Sentence,No,,Yes,Discharged End of Sentence,259,Simple Misdemeanor,Public Order,Other Public Order
2010,2013,Black - Non-Hispanic,45-54,D Felony,Public Order,OWI,Parole,Yes,2JD,Yes,Parole,260,Serious Misdemeanor,Violent,Assault
2010,2013,White - Non-Hispanic,45-54,D Felony,Property,Burglary,Parole,Yes,1JD,Yes,Parole,261,Aggravated Misdemeanor,Property,Burglary
2010,2013,White - Non-Hispanic,45-54,D Felony,Property,Forgery/Fraud,Discharged End of Sentence,No,,Yes,Discharged End of Sentence,261,D Felony,Public Order,OWI
2010,2013,Black - Non-Hispanic,45-54,B Felony,Violent,Other Violent,Parole,Yes,1JD,Yes,Parole,262,Felony - Enhancement to Original Penalty,Other,Other Criminal
2010,2013,White - Non-Hispanic,25-34,Felony - Enhanced,Property,Theft,Parole,Yes,2JD,Yes,Parole,262,Felony - Enhancement to Original Penalty,Other,Other Criminal
2010,2013,White - Non-Hispanic,35-44,D Felony,Public Order,OWI,Parole,Yes,5JD,Yes,Parole,262,Aggravated Misdemeanor,Public Order,Traffic
2010,2013,White - Non-Hispanic,Under 25,D Felony,Property,Theft,Parole,Yes,5JD,Yes,Parole,263,Serious Misdemeanor,Public Order,Flight/Escape
2010,2013,White - Non-Hispanic,45-54,D Felony,Property,Theft,Parole,Yes,7JD,Yes,Parole,266,Aggravated Misdemeanor,Property,Theft
2010,2013,Black - Non-Hispanic,35-44,D Felony,Drug,Drug Possession,Discharged End of Sentence,No,,Yes,Discharged End of Sentence,267,Felony - Enhancement to Original Penalty,Drug,Trafficking
2010,2013,White - Non-Hispanic,45-54,D Felony,Drug,Drug Possession,Discharged End of Sentence,No,,Yes,Discharged End of Sentence,267,D Felony,Property,Burglary
2010,2013,Black - Non-Hispanic,35-44,C Felony,Drug,Trafficking,Parole,Yes,7JD,Yes,Parole,267,Aggravated Misdemeanor,Drug,Trafficking
2010,2013,Black - Non-Hispanic,35-44,Aggravated Misdemeanor,Property,Theft,Discharged End of Sentence,No,,Yes,Discharged End of Sentence,268,Aggravated Misdemeanor,Property,Theft
2010,2013,White - Non-Hispanic,45-54,Aggravated Misdemeanor,Violent,Assault,Discharged End of Sentence,No,,Yes,Discharged End of Sentence,272,Aggravated Misdemeanor,Public Order,Traffic
2010,2013,White - Non-Hispanic,55 and Older,C Felony,Property,Theft,Parole,Yes,8JD,Yes,Parole,272,D Felony,Property,Theft
2010,2013,Black - Non-Hispanic,25-34,C Felony,Violent,Robbery,Parole,Yes,1JD,Yes,Parole,273,Serious Misdemeanor,Drug,Drug Possession
2010,2013,White - Non-Hispanic,Under 25,Aggravated Misdemeanor,Property,Forgery/Fraud,Discharged End of Sentence,No,,Yes,Discharged End of Sentence,274,D Felony,Property,Forgery/Fraud
2010,2013,White - Non-Hispanic,25-34,D Felony,Drug,Trafficking,Parole,Yes,5JD,Yes,Parole,275,Aggravated Misdemeanor,Public Order,Traffic
2010,2013,White - Non-Hispanic,35-44,D Felony,Property,Burglary,Parole,Yes,5JD,Yes,Parole,275,Serious Misdemeanor,Public Order,Flight/Escape
2010,2013,White - Non-Hispanic,45-54,D Felony,Property,Theft,Discharged End of Sentence,No,,Yes,Discharged End of Sentence,276,D Felony,Property,Burglary
2010,2013,White - Non-Hispanic,35-44,D Felony,Property,Theft,Discharged End of Sentence,No,,Yes,Discharged End of Sentence,279,D Felony,Property,Theft
2010,2013,Black - Non-Hispanic,35-44,D Felony,Public Order,OWI,Discharged End of Sentence,No,,Yes,Discharged End of Sentence,279,D Felony,Public Order,OWI
2010,2013,Black - Non-Hispanic,35-44,Aggravated Misdemeanor,Public Order,Alcohol,Discharged End of Sentence,No,,Yes,Discharged End of Sentence,280,Aggravated Misdemeanor,Public Order,Alcohol
2010,2013,White - Non-Hispanic,25-34,C Felony,Drug,Trafficking,Discharged End of Sentence,No,,Yes,Discharged End of Sentence,282,Aggravated Misdemeanor,Public Order,Other Public Order
2010,2013,Black - Non-Hispanic,35-44,C Felony,Violent,Robbery,Discharged End of Sentence,No,,Yes,Discharged End of Sentence,282,Serious Misdemeanor,Violent,Assault
2010,2013,White - Non-Hispanic,35-44,D Felony,Property,Theft,Discharged End of Sentence,No,,Yes,Discharged End of Sentence,282,D Felony,Property,Forgery/Fraud
2010,2013,White - Non-Hispanic,45-54,Aggravated Misdemeanor,Public Order,Traffic,Discharged End of Sentence,No,,Yes,Discharged End of Sentence,282,Aggravated Misdemeanor,Public Order,Traffic
2010,2013,White - Non-Hispanic,45-54,C Felony,Drug,Trafficking,Parole,Yes,1JD,Yes,Parole,283,D Felony,Drug,Drug Possession
2010,2013,White - Non-Hispanic,35-44,Aggravated Misdemeanor,Property,Forgery/Fraud,Discharged End of Sentence,No,,Yes,Discharged End of Sentence,283,D Felony,Property,Theft
2010,2013,White - Non-Hispanic,45-54,Aggravated Misdemeanor,Public Order,Alcohol,Discharged End of Sentence,No,,Yes,Discharged End of Sentence,284,Aggravated Misdemeanor,Public Order,Alcohol
2010,2013,American Indian or Alaska Native - Non-Hispanic,25-34,Aggravated Misdemeanor,Property,Theft,Discharged End of Sentence,No,,Yes,Discharged End of Sentence,287,D Felony,Drug,Drug Possession
2010,2013,White - Non-Hispanic,25-34,D Felony,Drug,Trafficking,Parole,Yes,5JD,Yes,Parole,288,C Felony,Drug,Trafficking
2010,2013,White - Non-Hispanic,25-34,C Felony,Drug,Trafficking,Parole,Yes,6JD,Yes,Parole,288,D Felony,Drug,Trafficking
2010,2013,Black - Non-Hispanic,25-34,Felony - Enhanced,Drug,Trafficking,Parole,Yes,5JD,Yes,Parole,289,Felony - Enhancement to Original Penalty,Drug,Trafficking
2010,2013,White - Non-Hispanic,25-34,Aggravated Misdemeanor,Property,Theft,Discharged End of Sentence,No,,Yes,Discharged End of Sentence,289,Aggravated Misdemeanor,Property,Forgery/Fraud
2010,2013,White - Non-Hispanic,35-44,D Felony,Property,Burglary,Parole,Yes,7JD,Yes,Parole,290,D Felony,Property,Theft
2010,2013,White - Non-Hispanic,35-44,Felony - Enhanced,Public Order,OWI,Parole,Yes,1JD,Yes,Parole,291,Aggravated Misdemeanor,Public Order,OWI
2010,2013,White - Non-Hispanic,45-54,C Felony,Drug,Trafficking,Parole,Yes,5JD,Yes,Parole,295,Felony - Enhancement to Original Penalty,Drug,Trafficking
2010,2013,Black - Non-Hispanic,Under 25,Aggravated Misdemeanor,Violent,Assault,Discharged End of Sentence,No,,Yes,Discharged End of Sentence,295,D Felony,Violent,Assault
2010,2013,White - Non-Hispanic,25-34,D Felony,Property,Burglary,Parole,Yes,1JD,Yes,Parole,296,Felony - Enhancement to Original Penalty,Other,Other Criminal
2010,2013,White - Non-Hispanic,35-44,D Felony,Property,Burglary,Discharged End of Sentence,No,,Yes,Discharged End of Sentence,297,C Felony,Property,Burglary
2010,2013,American Indian or Alaska Native - Non-Hispanic,25-34,Aggravated Misdemeanor,Public Order,Traffic,Discharged End of Sentence,No,,Yes,Discharged End of Sentence,297,D Felony,Public Order,OWI
2010,2013,White - Non-Hispanic,Under 25,D Felony,Public Order,Sex Offender Registry/Residency,Discharged End of Sentence,No,,Yes,Discharged End of Sentence,298,D Felony,Public Order,Other Public Order
2010,2013,Black - Non-Hispanic,35-44,Aggravated Misdemeanor,Property,Theft,Discharged End of Sentence,No,,Yes,Discharged End of Sentence,299,C Felony,Violent,Robbery
2010,2013,White - Non-Hispanic,25-34,C Felony,Property,Burglary,Discharged End of Sentence,No,,Yes,Discharged End of Sentence,299,Aggravated Misdemeanor,Property,Theft
2010,2013,White - Non-Hispanic,25-34,D Felony,Property,Burglary,Discharged End of Sentence,No,,Yes,Discharged End of Sentence,303,Aggravated Misdemeanor,Property,Theft
2010,2013,White - Non-Hispanic,25-34,Felony - Enhanced,Drug,Trafficking,Parole,Yes,2JD,Yes,Parole,305,D Felony,Public Order,OWI
2010,2013,Black - Non-Hispanic,35-44,Aggravated Misdemeanor,Public Order,Prostitution/Pimping,Parole,Yes,7JD,Yes,Parole,306,Aggravated Misdemeanor,Public Order,Prostitution/Pimping
2010,2013,White - Non-Hispanic,45-54,D Felony,Property,Theft,Discharged End of Sentence,No,,Yes,Discharged End of Sentence,306,D Felony,Property,Burglary
2010,2013,White - Non-Hispanic,35-44,Felony - Enhanced,Drug,Other Drug,Parole,Yes,5JD,Yes,Parole,308,C Felony,Drug,Trafficking
